dataset,extradata,global_rank,metric_name,metric_value,model,remove,task,paper_title,paper_path,paper_url
WMT2016 English-Czech,,# 1,BLEU score,25.8,Attentional encoder-decoder + BPE,-,Machine Translation,Edinburgh Neural Machine Translation Systems for WMT 16,/paper/edinburgh-neural-machine-translation-systems,https://arxiv.org/pdf/1606.02891v2.pdf
WMT2016 English-German,,# 1,BLEU score,34.2,Attentional encoder-decoder + BPE,-,Machine Translation,Edinburgh Neural Machine Translation Systems for WMT 16,/paper/edinburgh-neural-machine-translation-systems,https://arxiv.org/pdf/1606.02891v2.pdf
WMT2016 English-Romanian,,# 5,BLEU score,28.1,BiGRU,-,Machine Translation,Edinburgh Neural Machine Translation Systems for WMT 16,/paper/edinburgh-neural-machine-translation-systems,https://arxiv.org/pdf/1606.02891v2.pdf
WMT2016 English-Russian,,# 1,BLEU score,26.0,Attentional encoder-decoder + BPE,-,Machine Translation,Edinburgh Neural Machine Translation Systems for WMT 16,/paper/edinburgh-neural-machine-translation-systems,https://arxiv.org/pdf/1606.02891v2.pdf
WMT2016 German-English,,# 1,BLEU score,38.6,Attentional encoder-decoder + BPE,-,Machine Translation,Edinburgh Neural Machine Translation Systems for WMT 16,/paper/edinburgh-neural-machine-translation-systems,https://arxiv.org/pdf/1606.02891v2.pdf
WMT2016 Romanian-English,,# 2,BLEU score,33.3,Attentional encoder-decoder + BPE,-,Machine Translation,Edinburgh Neural Machine Translation Systems for WMT 16,/paper/edinburgh-neural-machine-translation-systems,https://arxiv.org/pdf/1606.02891v2.pdf
WMT2016 Russian-English,,# 1,BLEU score,28.0,Attentional encoder-decoder + BPE,-,Machine Translation,Edinburgh Neural Machine Translation Systems for WMT 16,/paper/edinburgh-neural-machine-translation-systems,https://arxiv.org/pdf/1606.02891v2.pdf
CR,,# 2,Accuracy,87.45,USE_T+CNN (w2v w.e.),-,Sentiment Analysis,Universal Sentence Encoder,/paper/universal-sentence-encoder,https://arxiv.org/pdf/1803.11175v2.pdf
MPQA,,# 1,Accuracy,88.14,USE_T+DAN (w2v w.e.),-,Sentiment Analysis,Universal Sentence Encoder,/paper/universal-sentence-encoder,https://arxiv.org/pdf/1803.11175v2.pdf
MR,,# 5,Accuracy,81.59,USE_T+CNN,-,Sentiment Analysis,Universal Sentence Encoder,/paper/universal-sentence-encoder,https://arxiv.org/pdf/1803.11175v2.pdf
SST-2 Binary classification,,# 14,Accuracy,87.21,USE_T+CNN (lrn w.e.),-,Sentiment Analysis,Universal Sentence Encoder,/paper/universal-sentence-encoder,https://arxiv.org/pdf/1803.11175v2.pdf
STS Benchmark,,# 1,Pearson Correlation,0.782,USE_T,-,Semantic Textual Similarity,Universal Sentence Encoder,/paper/universal-sentence-encoder,https://arxiv.org/pdf/1803.11175v2.pdf
SUBJ,,# 4,Accuracy,93.9,USE,-,Subjectivity Analysis,Universal Sentence Encoder,/paper/universal-sentence-encoder,https://arxiv.org/pdf/1803.11175v2.pdf
TREC-6,,# 1,Error,1.93,USE_T+CNN,-,Text Classification,Universal Sentence Encoder,/paper/universal-sentence-encoder,https://arxiv.org/pdf/1803.11175v2.pdf
Yahoo Questions,,# 2,NLL,327.5,SA-VAE,-,Text Generation,Semi-Amortized Variational Autoencoders,/paper/semi-amortized-variational-autoencoders,https://arxiv.org/pdf/1802.02550v7.pdf
Yahoo Questions,,# 2,KL,7.19,SA-VAE,-,Text Generation,Semi-Amortized Variational Autoencoders,/paper/semi-amortized-variational-autoencoders,https://arxiv.org/pdf/1802.02550v7.pdf
Yahoo Questions,,# 2,Perplexity,60.4,SA-VAE,-,Text Generation,Semi-Amortized Variational Autoencoders,/paper/semi-amortized-variational-autoencoders,https://arxiv.org/pdf/1802.02550v7.pdf
PASCAL VOC 2007,,# 12,MAP,39.3,WSDDN-Ens,-,Weakly Supervised Object Detection,Weakly Supervised Deep Detection Networks,/paper/weakly-supervised-deep-detection-networks,https://arxiv.org/pdf/1511.02853v4.pdf
CIFAR-10,,# 48,Percentage correct,87.7,ReNet,-,Image Classification,ReNet: A Recurrent Neural Network Based Alternative to Convolutional Networks,/paper/renet-a-recurrent-neural-network-based,https://arxiv.org/pdf/1505.00393v3.pdf
MNIST,,# 5,Percentage error,0.5,ReNet,-,Image Classification,ReNet: A Recurrent Neural Network Based Alternative to Convolutional Networks,/paper/renet-a-recurrent-neural-network-based,https://arxiv.org/pdf/1505.00393v3.pdf
SVHN,,# 18,Percentage error,2.38,ReNet,-,Image Classification,ReNet: A Recurrent Neural Network Based Alternative to Convolutional Networks,/paper/renet-a-recurrent-neural-network-based,https://arxiv.org/pdf/1505.00393v3.pdf
Amazon Review Full,,# 1,Accuracy,65.83,BERT large,-,Sentiment Analysis,Unsupervised Data Augmentation,/paper/unsupervised-data-augmentation,https://arxiv.org/pdf/1904.12848.pdf
Amazon Review Full,,# 4,Accuracy,62.88,BERT large finetune UDA,-,Sentiment Analysis,Unsupervised Data Augmentation,/paper/unsupervised-data-augmentation,https://arxiv.org/pdf/1904.12848.pdf
Amazon Review Polarity,,# 3,Accuracy,96.5,BERT large finetune UDA,-,Sentiment Analysis,Unsupervised Data Augmentation,/paper/unsupervised-data-augmentation,https://arxiv.org/pdf/1904.12848.pdf
Amazon Review Polarity,,# 1,Accuracy,97.37,BERT large,-,Sentiment Analysis,Unsupervised Data Augmentation,/paper/unsupervised-data-augmentation,https://arxiv.org/pdf/1904.12848.pdf
DBpedia,,# 10,Error,1.09,BERT large UDA,-,Text Classification,Unsupervised Data Augmentation,/paper/unsupervised-data-augmentation,https://arxiv.org/pdf/1904.12848.pdf
DBpedia,,# 1,Error,0.68,BERT large,-,Text Classification,Unsupervised Data Augmentation,/paper/unsupervised-data-augmentation,https://arxiv.org/pdf/1904.12848.pdf
IMDb,,# 1,Accuracy,95.8,BERT large finetune UDA,-,Sentiment Analysis,Unsupervised Data Augmentation,/paper/unsupervised-data-augmentation,https://arxiv.org/pdf/1904.12848.pdf
IMDb,,# 3,Accuracy,95.49,BERT large,-,Sentiment Analysis,Unsupervised Data Augmentation,/paper/unsupervised-data-augmentation,https://arxiv.org/pdf/1904.12848.pdf
Yelp Binary classification,,# 2,Error,2.05,BERT large finetune UDA,-,Sentiment Analysis,Unsupervised Data Augmentation,/paper/unsupervised-data-augmentation,https://arxiv.org/pdf/1904.12848.pdf
Yelp Binary classification,,# 1,Error,1.89,BERT large,-,Sentiment Analysis,Unsupervised Data Augmentation,/paper/unsupervised-data-augmentation,https://arxiv.org/pdf/1904.12848.pdf
Yelp Fine-grained classification,,# 1,Error,29.32,BERT large,-,Sentiment Analysis,Unsupervised Data Augmentation,/paper/unsupervised-data-augmentation,https://arxiv.org/pdf/1904.12848.pdf
Yelp Fine-grained classification,,# 5,Error,32.08,BERT large finetune UDA,-,Sentiment Analysis,Unsupervised Data Augmentation,/paper/unsupervised-data-augmentation,https://arxiv.org/pdf/1904.12848.pdf
ICVL Hands,,# 4,Average 3D Error,7.5,REN,-,Hand Pose Estimation,Region Ensemble Network: Improving Convolutional Network for Hand Pose Estimation,/paper/region-ensemble-network-improving,https://arxiv.org/pdf/1702.02447v2.pdf
MSRA Hands,,# 5,Average 3D Error,9.8,REN,-,Hand Pose Estimation,Region Ensemble Network: Improving Convolutional Network for Hand Pose Estimation,/paper/region-ensemble-network-improving,https://arxiv.org/pdf/1702.02447v2.pdf
NYU Hands,,# 5,Average 3D Error,12.7,REN,-,Hand Pose Estimation,Region Ensemble Network: Improving Convolutional Network for Hand Pose Estimation,/paper/region-ensemble-network-improving,https://arxiv.org/pdf/1702.02447v2.pdf
WebQSP-WD,,# 1,Avg F1,0.2588,GGNN,-,Knowledge Base Question Answering,Modeling Semantics with Gated Graph Neural Networks for Knowledge Base Question Answering,/paper/modeling-semantics-with-gated-graph-neural-1,https://aclweb.org/anthology/C18-1280
WMT2016 English-German,,# 5,BLEU,20.0,Synthetic bilingual data init,-,Unsupervised Machine Translation,Unsupervised Neural Machine Translation Initialized by Unsupervised Statistical Machine Translation,/paper/unsupervised-neural-machine-translation-1,https://arxiv.org/pdf/1810.12703v1.pdf
WMT2016 German-English,,# 3,BLEU,26.7,Synthetic bilingual data init,-,Unsupervised Machine Translation,Unsupervised Neural Machine Translation Initialized by Unsupervised Statistical Machine Translation,/paper/unsupervised-neural-machine-translation-1,https://arxiv.org/pdf/1810.12703v1.pdf
AG News,,# 6,Error,7.0,EXAM,-,Text Classification,Explicit Interaction Model towards Text Classification,/paper/explicit-interaction-model-towards-text,https://arxiv.org/pdf/1811.09386v1.pdf
Amazon Review Full,,# 5,Accuracy,61.9,EXAM,-,Sentiment Analysis,Explicit Interaction Model towards Text Classification,/paper/explicit-interaction-model-towards-text,https://arxiv.org/pdf/1811.09386v1.pdf
Amazon Review Polarity,,# 5,Accuracy,95.5,EXAM,-,Sentiment Analysis,Explicit Interaction Model towards Text Classification,/paper/explicit-interaction-model-towards-text,https://arxiv.org/pdf/1811.09386v1.pdf
DBpedia,,# 8,Error,1.0,EXAM,-,Text Classification,Explicit Interaction Model towards Text Classification,/paper/explicit-interaction-model-towards-text,https://arxiv.org/pdf/1811.09386v1.pdf
Yahoo! Answers,,# 2,Accuracy,74.8,EXAM,-,Text Classification,Explicit Interaction Model towards Text Classification,/paper/explicit-interaction-model-towards-text,https://arxiv.org/pdf/1811.09386v1.pdf
STL-10,,# 9,Percentage correct,70.1,Multi-Task Bayesian Optimization,-,Image Classification,Multi-Task Bayesian Optimization,/paper/multi-task-bayesian-optimization,https://papers.nips.cc/paper/5086-multi-task-bayesian-optimization.pdf
One Billion Word,,# 6,PPL,26.67,DynamicConv,-,Language Modelling,Pay Less Attention with Lightweight and Dynamic Convolutions,/paper/pay-less-attention-with-lightweight-and,https://arxiv.org/pdf/1901.10430v2.pdf
One Billion Word,,# 1,Number of params,0.34B,DynamicConv,-,Language Modelling,Pay Less Attention with Lightweight and Dynamic Convolutions,/paper/pay-less-attention-with-lightweight-and,https://arxiv.org/pdf/1901.10430v2.pdf
WMT2014 English-French,,# 2,BLEU score,43.2,DynamicConv,-,Machine Translation,Pay Less Attention with Lightweight and Dynamic Convolutions,/paper/pay-less-attention-with-lightweight-and,https://arxiv.org/pdf/1901.10430v2.pdf
WMT2014 English-French,,# 3,BLEU score,43.1,LightConv,-,Machine Translation,Pay Less Attention with Lightweight and Dynamic Convolutions,/paper/pay-less-attention-with-lightweight-and,https://arxiv.org/pdf/1901.10430v2.pdf
WMT2014 English-German,,# 2,BLEU score,29.7,DynamicConv,-,Machine Translation,Pay Less Attention with Lightweight and Dynamic Convolutions,/paper/pay-less-attention-with-lightweight-and,https://arxiv.org/pdf/1901.10430v2.pdf
WMT2014 English-German,,# 6,BLEU score,28.9,LightConv,-,Machine Translation,Pay Less Attention with Lightweight and Dynamic Convolutions,/paper/pay-less-attention-with-lightweight-and,https://arxiv.org/pdf/1901.10430v2.pdf
COCO,,# 19,Bounding Box AP,41.8,RefineDet512+,-,Object Detection,Single-Shot Refinement Neural Network for Object Detection,/paper/single-shot-refinement-neural-network-for,https://arxiv.org/pdf/1711.06897v3.pdf
PASCAL VOC 2007,,# 2,MAP,83.8%,RefineDet512+,-,Object Detection,Single-Shot Refinement Neural Network for Object Detection,/paper/single-shot-refinement-neural-network-for,https://arxiv.org/pdf/1711.06897v3.pdf
PanoContext,,# 4,3DIoU,74.48%,LayoutNet,-,3D Room Layouts From A Single Rgb Panorama,LayoutNet: Reconstructing the 3D Room Layout from a Single RGB Image,/paper/layoutnet-reconstructing-the-3d-room-layout,https://arxiv.org/pdf/1803.08999v1.pdf
Realtor360,,# 2,3DIoU,62.77%,LayoutNet,-,3D Room Layouts From A Single Rgb Panorama,LayoutNet: Reconstructing the 3D Room Layout from a Single RGB Image,/paper/layoutnet-reconstructing-the-3d-room-layout,https://arxiv.org/pdf/1803.08999v1.pdf
Stanford 2D-3D,,# 3,3DIoU,76.33%,LayoutNet,-,3D Room Layouts From A Single Rgb Panorama,LayoutNet: Reconstructing the 3D Room Layout from a Single RGB Image,/paper/layoutnet-reconstructing-the-3d-room-layout,https://arxiv.org/pdf/1803.08999v1.pdf
PASCAL VOC 2007,,# 14,MAP,31.3,Self-paced curriculum learning,-,Weakly Supervised Object Detection,Bridging Saliency Detection to Weakly Supervised Object Detection Based on Self-paced Curriculum Learning,/paper/bridging-saliency-detection-to-weakly,https://arxiv.org/pdf/1703.01290v1.pdf
TempEval-3,,# 1,Temporal awareness,67.2,Ning et al.,-,Temporal Information Extraction,A Structured Learning Approach to Temporal Relation Extraction,/paper/a-structured-learning-approach-to-temporal,https://aclweb.org/anthology/D17-1108
Pascal3D+,,# 2,Mean PCK,78.6,StarMap,-,Keypoint Detection,StarMap for Category-Agnostic Keypoint and Viewpoint Estimation,/paper/starmap-for-category-agnostic-keypoint-and,https://arxiv.org/pdf/1803.09331v2.pdf
bAbi,,# 4,Accuracy (trained on 1k),73.2%,RUM,-,Question Answering,Rotational Unit of Memory,/paper/rotational-unit-of-memory,https://arxiv.org/pdf/1710.09537v1.pdf
PASCAL VOC 2012,,# 2,Mean IoU,86.9%,DeepLabv3-JFT,-,Semantic Segmentation,Rethinking Atrous Convolution for Semantic Image Segmentation,/paper/rethinking-atrous-convolution-for-semantic,https://arxiv.org/pdf/1706.05587v3.pdf
TuSimple,,# 3,Accuracy,96.4%,LaneNet,-,Lane Detection,Towards End-to-End Lane Detection: an Instance Segmentation Approach,/paper/towards-end-to-end-lane-detection-an-instance,https://arxiv.org/pdf/1802.05591v1.pdf
ShapeNet-Part,,# 3,Class Average IoU,82.0,SSCNN,-,3D Part Segmentation,SyncSpecCNN: Synchronized Spectral CNN for 3D Shape Segmentation,/paper/syncspeccnn-synchronized-spectral-cnn-for-3d,https://arxiv.org/pdf/1612.00606v1.pdf
ShapeNet-Part,,# 5,Instance Average IoU,84.7,SSCNN,-,3D Part Segmentation,SyncSpecCNN: Synchronized Spectral CNN for 3D Shape Segmentation,/paper/syncspeccnn-synchronized-spectral-cnn-for-3d,https://arxiv.org/pdf/1612.00606v1.pdf
PASCAL VOC 2007,,# 13,MAP,36.3,WSDDN + context,-,Weakly Supervised Object Detection,ContextLocNet: Context-Aware Deep Network Models for Weakly Supervised Localization,/paper/contextlocnet-context-aware-deep-network,https://arxiv.org/pdf/1609.04331v1.pdf
PASCAL VOC 2012,,# 11,MAP,35.3,WSDDN + context,-,Weakly Supervised Object Detection,ContextLocNet: Context-Aware Deep Network Models for Weakly Supervised Localization,/paper/contextlocnet-context-aware-deep-network,https://arxiv.org/pdf/1609.04331v1.pdf
PROMISE 2012,,# 2,Dice Score,0.78,Fully-connected CRF,-,Volumetric Medical Image Segmentation,Conditional Random Fields as Recurrent Neural Networks for 3D Medical Imaging Segmentation,/paper/conditional-random-fields-as-recurrent-neural,https://arxiv.org/pdf/1807.07464v1.pdf
ImageNet 128x128,,# 2,FID,7.7,S3 GAN,-,Conditional Image Generation,High-Fidelity Image Generation With Fewer Labels,/paper/high-fidelity-image-generation-with-fewer,https://arxiv.org/pdf/1903.02271v1.pdf
ImageNet 128x128,,# 3,Inception score,83.1,S3 GAN,-,Conditional Image Generation,High-Fidelity Image Generation With Fewer Labels,/paper/high-fidelity-image-generation-with-fewer,https://arxiv.org/pdf/1903.02271v1.pdf
BSD100 - 4x upscaling,,# 4,PSNR,27.72,D-DBPN,-,Image Super-Resolution,Deep Back-Projection Networks For Super-Resolution,/paper/deep-back-projection-networks-for-super,https://arxiv.org/pdf/1803.02735v1.pdf
BSD100 - 4x upscaling,,# 9,SSIM,0.74,D-DBPN,-,Image Super-Resolution,Deep Back-Projection Networks For Super-Resolution,/paper/deep-back-projection-networks-for-super,https://arxiv.org/pdf/1803.02735v1.pdf
Manga109 - 4x upscaling,,# 6,SSIM,0.914,D-DBPN,-,Image Super-Resolution,Deep Back-Projection Networks For Super-Resolution,/paper/deep-back-projection-networks-for-super,https://arxiv.org/pdf/1803.02735v1.pdf
Set14 - 4x upscaling,,# 5,PSNR,28.82,D-DBPN,-,Image Super-Resolution,Deep Back-Projection Networks For Super-Resolution,/paper/deep-back-projection-networks-for-super,https://arxiv.org/pdf/1803.02735v1.pdf
Set14 - 4x upscaling,,# 10,SSIM,0.7859999999999999,D-DBPN,-,Image Super-Resolution,Deep Back-Projection Networks For Super-Resolution,/paper/deep-back-projection-networks-for-super,https://arxiv.org/pdf/1803.02735v1.pdf
Set5 - 4x upscaling,,# 4,PSNR,32.47,D-DBPN,-,Image Super-Resolution,Deep Back-Projection Networks For Super-Resolution,/paper/deep-back-projection-networks-for-super,https://arxiv.org/pdf/1803.02735v1.pdf
Set5 - 4x upscaling,,# 7,SSIM,0.898,D-DBPN,-,Image Super-Resolution,Deep Back-Projection Networks For Super-Resolution,/paper/deep-back-projection-networks-for-super,https://arxiv.org/pdf/1803.02735v1.pdf
Urban100 - 4x upscaling,,# 6,SSIM,0.795,D-DBPN,-,Image Super-Resolution,Deep Back-Projection Networks For Super-Resolution,/paper/deep-back-projection-networks-for-super,https://arxiv.org/pdf/1803.02735v1.pdf
Vid4 - 4x upscaling,,# 6,PSNR,25.37,DBPN,-,Video Super-Resolution,Deep Back-Projection Networks For Super-Resolution,/paper/deep-back-projection-networks-for-super,https://arxiv.org/pdf/1803.02735v1.pdf
Vid4 - 4x upscaling,,# 4,SSIM,0.737,DBPN,-,Video Super-Resolution,Deep Back-Projection Networks For Super-Resolution,/paper/deep-back-projection-networks-for-super,https://arxiv.org/pdf/1803.02735v1.pdf
BSD100 - 4x upscaling,,# 7,PSNR,27.62,MWCNN,-,Image Super-Resolution,Multi-level Wavelet-CNN for Image Restoration,/paper/multi-level-wavelet-cnn-for-image-restoration,https://arxiv.org/pdf/1805.07071v2.pdf
BSD100 - 4x upscaling,,# 12,SSIM,0.7355,MWCNN,-,Image Super-Resolution,Multi-level Wavelet-CNN for Image Restoration,/paper/multi-level-wavelet-cnn-for-image-restoration,https://arxiv.org/pdf/1805.07071v2.pdf
BSD68 sigma15,,# 2,PSNR,31.86,MWCNN,-,Image Denoising,Multi-level Wavelet-CNN for Image Restoration,/paper/multi-level-wavelet-cnn-for-image-restoration,https://arxiv.org/pdf/1805.07071v2.pdf
BSD68 sigma25,,# 1,PSNR,29.41,MWCNN,-,Image Denoising,Multi-level Wavelet-CNN for Image Restoration,/paper/multi-level-wavelet-cnn-for-image-restoration,https://arxiv.org/pdf/1805.07071v2.pdf
BSD68 sigma50,,# 1,PSNR,26.53,MWCNN,-,Image Denoising,Multi-level Wavelet-CNN for Image Restoration,/paper/multi-level-wavelet-cnn-for-image-restoration,https://arxiv.org/pdf/1805.07071v2.pdf
Set14 - 4x upscaling,,# 13,PSNR,28.41,MWCNN,-,Image Super-Resolution,Multi-level Wavelet-CNN for Image Restoration,/paper/multi-level-wavelet-cnn-for-image-restoration,https://arxiv.org/pdf/1805.07071v2.pdf
Set14 - 4x upscaling,,# 13,SSIM,0.7816,MWCNN,-,Image Super-Resolution,Multi-level Wavelet-CNN for Image Restoration,/paper/multi-level-wavelet-cnn-for-image-restoration,https://arxiv.org/pdf/1805.07071v2.pdf
Set5 - 4x upscaling,,# 9,PSNR,32.12,MWCNN,-,Image Super-Resolution,Multi-level Wavelet-CNN for Image Restoration,/paper/multi-level-wavelet-cnn-for-image-restoration,https://arxiv.org/pdf/1805.07071v2.pdf
Set5 - 4x upscaling,,# 10,SSIM,0.8941,MWCNN,-,Image Super-Resolution,Multi-level Wavelet-CNN for Image Restoration,/paper/multi-level-wavelet-cnn-for-image-restoration,https://arxiv.org/pdf/1805.07071v2.pdf
Urban100 - 4x upscaling,,# 8,PSNR,26.27,MWCNN,-,Image Super-Resolution,Multi-level Wavelet-CNN for Image Restoration,/paper/multi-level-wavelet-cnn-for-image-restoration,https://arxiv.org/pdf/1805.07071v2.pdf
Urban100 - 4x upscaling,,# 8,SSIM,0.789,MWCNN,-,Image Super-Resolution,Multi-level Wavelet-CNN for Image Restoration,/paper/multi-level-wavelet-cnn-for-image-restoration,https://arxiv.org/pdf/1805.07071v2.pdf
Urban100 sigma50,,# 3,PSNR,27.42,MWCNN,-,Image Denoising,Multi-level Wavelet-CNN for Image Restoration,/paper/multi-level-wavelet-cnn-for-image-restoration,https://arxiv.org/pdf/1805.07071v2.pdf
WMT2014 English-French,,# 26,BLEU score,26.4,GRU+Attention,-,Machine Translation,Can Active Memory Replace Attention?,/paper/can-active-memory-replace-attention,https://arxiv.org/pdf/1610.08613v2.pdf
Douban,,# 3,RMSE,0.7340000000000001,GC-MC,-,Collaborative Filtering,Graph Convolutional Matrix Completion,/paper/graph-convolutional-matrix-completion,https://arxiv.org/pdf/1706.02263v2.pdf
Flixster,,# 2,RMSE,0.917,GC-MC,-,Collaborative Filtering,Graph Convolutional Matrix Completion,/paper/graph-convolutional-matrix-completion,https://arxiv.org/pdf/1706.02263v2.pdf
MovieLens 100K,,# 2,RMSE,0.91,GC-MC,-,Collaborative Filtering,Graph Convolutional Matrix Completion,/paper/graph-convolutional-matrix-completion,https://arxiv.org/pdf/1706.02263v2.pdf
MovieLens 100K,,# 1,RMSE,0.905,GC-MC + feat,-,Collaborative Filtering,Graph Convolutional Matrix Completion,/paper/graph-convolutional-matrix-completion,https://arxiv.org/pdf/1706.02263v2.pdf
MovieLens 10M,,# 4,RMSE,0.777,GC-MC,-,Collaborative Filtering,Graph Convolutional Matrix Completion,/paper/graph-convolutional-matrix-completion,https://arxiv.org/pdf/1706.02263v2.pdf
MovieLens 1M,,# 4,RMSE,0.8320000000000001,GC-MC,-,Collaborative Filtering,Graph Convolutional Matrix Completion,/paper/graph-convolutional-matrix-completion,https://arxiv.org/pdf/1706.02263v2.pdf
YahooMusic,,# 2,RMSE,20.5,GC-MC,-,Collaborative Filtering,Graph Convolutional Matrix Completion,/paper/graph-convolutional-matrix-completion,https://arxiv.org/pdf/1706.02263v2.pdf
OccludedLINEMOD,,# 2,Accuracy,76.7%,Fully-connected CRF + geometric check,-,6D Pose Estimation,Global Hypothesis Generation for 6D Object Pose Estimation,/paper/global-hypothesis-generation-for-6d-object,https://arxiv.org/pdf/1612.02287v3.pdf
Pascal3D+,,# 3,Mean PCK,68.8,CNN + viewpoint estimates,-,Keypoint Detection,Viewpoints and Keypoints,/paper/viewpoints-and-keypoints,https://arxiv.org/pdf/1411.6067v2.pdf
WN18RR,,# 1,MRR,0.4983,M3GM,-,Link Prediction,Predicting Semantic Relations using Global Graph Properties,/paper/predicting-semantic-relations-using-global,https://arxiv.org/pdf/1808.08644v1.pdf
WN18RR,,# 1,[emailÂ protected],0.5902,M3GM,-,Link Prediction,Predicting Semantic Relations using Global Graph Properties,/paper/predicting-semantic-relations-using-global,https://arxiv.org/pdf/1808.08644v1.pdf
WN18RR,,# 1,[emailÂ protected],0.4537,M3GM,-,Link Prediction,Predicting Semantic Relations using Global Graph Properties,/paper/predicting-semantic-relations-using-global,https://arxiv.org/pdf/1808.08644v1.pdf
PanoContext,,# 2,3DIoU,78.79%,CFL,-,3D Room Layouts From A Single Rgb Panorama,Corners for Layout: End-to-End Layout Recovery from 360 Images,/paper/corners-for-layout-end-to-end-layout-recovery,https://arxiv.org/pdf/1903.08094v2.pdf
MS MARCO,,# 2,Rouge-L,52.01,Deep Cascade QA,-,Question Answering,A Deep Cascade Model for Multi-Document Reading Comprehension,/paper/a-deep-cascade-model-for-multi-document,https://arxiv.org/pdf/1811.11374v1.pdf
MS MARCO,,# 1,BLEU-1,54.64,Deep Cascade QA,-,Question Answering,A Deep Cascade Model for Multi-Document Reading Comprehension,/paper/a-deep-cascade-model-for-multi-document,https://arxiv.org/pdf/1811.11374v1.pdf
"CIFAR-10, 4000 Labels",,# 2,Accuracy,93.72,Mean Teacher,-,Semi-Supervised Image Classification,Mean teachers are better role models: Weight-averaged consistency targets improve semi-supervised deep learning results,/paper/mean-teachers-are-better-role-models-weight,https://arxiv.org/pdf/1703.01780v6.pdf
"SVHN, 1000 labels",,# 2,Accuracy,96.05,Mean Teacher,-,Semi-Supervised Image Classification,Mean teachers are better role models: Weight-averaged consistency targets improve semi-supervised deep learning results,/paper/mean-teachers-are-better-role-models-weight,https://arxiv.org/pdf/1703.01780v6.pdf
KITTI2012,,# 1,three pixel error,6.1,AnyNet,-,Stereo Depth Estimation,Anytime Stereo Image Depth Estimation on Mobile Devices,/paper/anytime-stereo-image-depth-estimation-on,https://arxiv.org/pdf/1810.11408v2.pdf
KITTI2015,,# 1,three pixel error,6.2,AnyNet,-,Stereo Depth Estimation,Anytime Stereo Image Depth Estimation on Mobile Devices,/paper/anytime-stereo-image-depth-estimation-on,https://arxiv.org/pdf/1810.11408v2.pdf
SemEval 2014 Task 4 Sub Task 2,,# 15,Restaurant (Acc),80.63,LSTM+SynATT+TarRep,-,Aspect-Based Sentiment Analysis,Effective Attention Modeling for Aspect-Level Sentiment Classification,/paper/effective-attention-modeling-for-aspect-level,https://aclweb.org/anthology/C18-1096
SemEval 2014 Task 4 Sub Task 2,,# 7,Laptop (Acc),71.94,LSTM+SynATT+TarRep,-,Aspect-Based Sentiment Analysis,Effective Attention Modeling for Aspect-Level Sentiment Classification,/paper/effective-attention-modeling-for-aspect-level,https://aclweb.org/anthology/C18-1096
COCO Visual Question Answering (VQA) real images 1.0 open ended,,# 8,Percentage correct,58.24,SMem-VQA,-,Visual Question Answering,"Ask, Attend and Answer: Exploring Question-Guided Spatial Attention for Visual Question Answering",/paper/ask-attend-and-answer-exploring-question,https://arxiv.org/pdf/1511.05234v2.pdf
WSJ eval92,,# 1,Percentage error,2.32,tdnn + chain,-,Speech Recognition,Purely sequence-trained neural networks for ASR based on lattice-free MMI,/paper/purely-sequence-trained-neural-networks-for,https://www.danielpovey.com/files/2016_interspeech_mmi.pdf
CACDVS,,# 3,Accuracy,99.20%,OE-CNN,-,Age-Invariant Face Recognition,Orthogonal Deep Features Decomposition for Age-Invariant Face Recognition,/paper/orthogonal-deep-features-decomposition-for,https://arxiv.org/pdf/1810.07599v1.pdf
MORPH Album2,,# 3,Rank-1 Recognition Rate,98.55%,OE-CNN,-,Age-Invariant Face Recognition,Orthogonal Deep Features Decomposition for Age-Invariant Face Recognition,/paper/orthogonal-deep-features-decomposition-for,https://arxiv.org/pdf/1810.07599v1.pdf
CHALL H80K,,# 1,MPJPE,55.3,ResNet,-,3D Human Pose Estimation,An Integral Pose Regression System for the ECCV2018 PoseTrack Challenge,/paper/an-integral-pose-regression-system-for-the,https://arxiv.org/pdf/1809.06079v1.pdf
BRATS-2015,,# 1,Dice Score,85%,U-Net + more filters + data augmentation + dice-loss,-,Brain Tumor Segmentation,Brain Tumor Segmentation and Radiomics Survival Prediction: Contribution to the BRATS 2017 Challenge,/paper/brain-tumor-segmentation-and-radiomics,https://arxiv.org/pdf/1802.10508v1.pdf
MPII Human Pose,,# 10,PCKh-0.5,82.40%,DeepCut,-,Pose Estimation,DeepCut: Joint Subset Partition and Labeling for Multi Person Pose Estimation,/paper/deepcut-joint-subset-partition-and-labeling,https://arxiv.org/pdf/1511.06645v2.pdf
WAF,,# 2,AOP,86.5%,DeepCut,-,Multi-Person Pose Estimation,DeepCut: Joint Subset Partition and Labeling for Multi Person Pose Estimation,/paper/deepcut-joint-subset-partition-and-labeling,https://arxiv.org/pdf/1511.06645v2.pdf
CoNLL 2003 (English),,# 15,F1,91.26,Yang et al.,-,Named Entity Recognition (NER),Transfer Learning for Sequence Tagging with Hierarchical Recurrent Networks,/paper/transfer-learning-for-sequence-tagging-with,https://arxiv.org/pdf/1703.06345v1.pdf
Penn Treebank,,# 5,Accuracy,97.55,Yang et al.,-,Part-Of-Speech Tagging,Transfer Learning for Sequence Tagging with Hierarchical Recurrent Networks,/paper/transfer-learning-for-sequence-tagging-with,https://arxiv.org/pdf/1703.06345v1.pdf
